Beat,Key,Row
0.0,S,1
0.75,K,1
1.5,S,1
2.5,K,1
3.25,S,1
4.0,K,1
7.75,S,1
7.875,K,1
8.0,S,1
8.75,K,1
9.5,S,1
10.5,K,1
11.5,S,1
13.0,K,1
14.0,S,1
15.0,K,1
15.25,S,1
16.0,K,1
16.75,S,1
17.5,K,1
18.5,S,1
19.25,K,1
20.0,S,1
23.75,K,1
23.875,S,1
24.0,K,1
24.75,S,1
25.5,K,1
26.5,S,1
27.5,K,1
29.0,S,1
30.0,K,1
30.0,S,1
31.0,K,1
31.25,S,1
31.75,K,1
32.75,S,1
38.5,K,1
39.25,S,1
40.0,K,1
46.5,S,1
47.25,K,1
48.0,S,1
48.75,K,1
54.5,S,1
55.25,K,1
56.0,S,1
62.5,K,1
63.25,S,1
